parameter_path,case_values
model.dropout,"{""feature_matrix__inception_small"": ""not_applicable"", ""feature_vector__logistic"": ""not_applicable"", ""raw__compact_cnn"": ""not_applicable"", ""raw__inception_full_configured"": 0.5}"
signal.dl_resampling.enabled,"{""feature_matrix__inception_small"": ""not_applicable"", ""feature_vector__logistic"": ""not_applicable"", ""raw__compact_cnn"": ""not_applicable"", ""raw__inception_full_configured"": true}"
signal.dl_resampling.target_fs_hz,"{""feature_matrix__inception_small"": ""not_applicable"", ""feature_vector__logistic"": ""not_applicable"", ""raw__compact_cnn"": ""not_applicable"", ""raw__inception_full_configured"": 64.0}"
study.catalog_entry,"{""feature_matrix__inception_small"": ""inception_matrix_small"", ""feature_vector__logistic"": ""logistic_regression"", ""raw__compact_cnn"": ""compact_cnn"", ""raw__inception_full_configured"": ""inception_full""}"
study.screen_profile_id,"{""feature_matrix__inception_small"": ""registered_default_matrix_small_fixed10"", ""feature_vector__logistic"": ""registered_default_logistic"", ""raw__compact_cnn"": ""registered_default_fixed10"", ""raw__inception_full_configured"": ""configured_64hz_fixed10_b16_lr3e4_do50_wd005_ls20""}"
training.batch_size,"{""feature_matrix__inception_small"": ""not_applicable"", ""feature_vector__logistic"": ""not_applicable"", ""raw__compact_cnn"": ""not_applicable"", ""raw__inception_full_configured"": 16}"
training.fixed_epochs,"{""feature_matrix__inception_small"": ""not_applicable"", ""feature_vector__logistic"": ""not_applicable"", ""raw__compact_cnn"": ""not_applicable"", ""raw__inception_full_configured"": 10}"
training.label_smoothing,"{""feature_matrix__inception_small"": ""not_applicable"", ""feature_vector__logistic"": ""not_applicable"", ""raw__compact_cnn"": ""not_applicable"", ""raw__inception_full_configured"": 0.2}"
training.learning_rate,"{""feature_matrix__inception_small"": ""not_applicable"", ""feature_vector__logistic"": ""not_applicable"", ""raw__compact_cnn"": ""not_applicable"", ""raw__inception_full_configured"": 0.0003}"
training.weight_decay,"{""feature_matrix__inception_small"": ""not_applicable"", ""feature_vector__logistic"": ""not_applicable"", ""raw__compact_cnn"": ""not_applicable"", ""raw__inception_full_configured"": 0.005}"
windows.raw_dl.hop_s,"{""feature_matrix__inception_small"": ""not_applicable"", ""feature_vector__logistic"": ""not_applicable"", ""raw__compact_cnn"": ""not_applicable"", ""raw__inception_full_configured"": 2.5}"
windows.raw_dl.length_s,"{""feature_matrix__inception_small"": ""not_applicable"", ""feature_vector__logistic"": ""not_applicable"", ""raw__compact_cnn"": ""not_applicable"", ""raw__inception_full_configured"": 5.0}"
