table_name,table_description,ordinal_position,column_name,display_label,source_fields,definition,formula,documentation_kind
cross_study_contract_summary,Persisted root CSV report table,1,report_id,report_id,report_id,"Direct identifier, provenance, configuration, grouping, or status value.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
cross_study_contract_summary,Persisted root CSV report table,2,source_studies,source_studies,source_studies,"Direct identifier, provenance, configuration, grouping, or status value.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
cross_study_contract_summary,Persisted root CSV report table,3,models,models,models,Persisted source-table value for `models`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
cross_study_contract_summary,Persisted root CSV report table,4,native_fs_hz,native_fs_hz,native_fs_hz,Persisted source-table value for `native_fs_hz`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
cross_study_contract_summary,Persisted root CSV report table,5,dl_target_fs_hz,dl_target_fs_hz,dl_target_fs_hz,Persisted source-table value for `dl_target_fs_hz`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
cross_study_contract_summary,Persisted root CSV report table,6,batch_size,batch_size,batch_size,Persisted source-table value for `batch_size`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
cross_study_contract_summary,Persisted root CSV report table,7,all_config_evaluation_window_seconds,all_config_evaluation_window_seconds,all_config_evaluation_window_seconds,"Direct identifier, provenance, configuration, grouping, or status value.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
cross_study_contract_summary,Persisted root CSV report table,8,all_config_evaluation_hop_seconds,all_config_evaluation_hop_seconds,all_config_evaluation_hop_seconds,"Direct identifier, provenance, configuration, grouping, or status value.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
cross_study_contract_summary,Persisted root CSV report table,9,analysis_grid_evaluation_hop_seconds,analysis_grid_evaluation_hop_seconds,analysis_grid_evaluation_hop_seconds,Persisted source-table value for `analysis_grid_evaluation_hop_seconds`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
cross_study_contract_summary,Persisted root CSV report table,10,analysis_grid_train_overlap_percent,analysis_grid_train_overlap_percent,analysis_grid_train_overlap_percent,Persisted source-table value for `analysis_grid_train_overlap_percent`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
cross_study_contract_summary,Persisted root CSV report table,11,derived_analysis_grid_training_hop_seconds,derived_analysis_grid_training_hop_seconds,derived_analysis_grid_training_hop_seconds,Persisted source-table value for `derived_analysis_grid_training_hop_seconds`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
cross_study_contract_summary,Persisted root CSV report table,12,best_epoch_selection,best_epoch_selection,best_epoch_selection,Persisted source-table value for `best_epoch_selection`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
cross_study_contract_summary,Persisted root CSV report table,13,roles,roles,roles,Persisted source-table value for `roles`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
