parameter_path,case_values
aggregation.balance_line,"{""b16_lr1e-4"": ""line_b_equal_role_families"", ""b32_lr1e-3"": ""line_b_equal_role_families"", ""b32_lr1e-4"": ""line_b_equal_role_families""}"
signal.dl_resampling.enabled,"{""b16_lr1e-4"": true, ""b32_lr1e-3"": true, ""b32_lr1e-4"": true}"
signal.dl_resampling.target_fs_hz,"{""b16_lr1e-4"": 64.0, ""b32_lr1e-3"": 64.0, ""b32_lr1e-4"": 64.0}"
signal.normalization.raw_imu,"{""b16_lr1e-4"": ""none"", ""b32_lr1e-3"": ""none"", ""b32_lr1e-4"": ""none""}"
signal.normalization.raw_ppg,"{""b16_lr1e-4"": ""per_window_median_iqr_over_1p349_sd_finite"", ""b32_lr1e-3"": ""per_window_median_iqr_over_1p349_sd_finite"", ""b32_lr1e-4"": ""per_window_median_iqr_over_1p349_sd_finite""}"
study.catalog_entry,"{""b16_lr1e-4"": ""inception_full"", ""b32_lr1e-3"": ""inception_full"", ""b32_lr1e-4"": ""inception_full""}"
study.screen_profile_id,"{""b16_lr1e-4"": ""v2_core_b0_b2_b7_selected"", ""b32_lr1e-3"": ""v2_core_b0_b2_b7_selected"", ""b32_lr1e-4"": ""v2_core_b0_b2_b7_selected""}"
training.batch_size,"{""b16_lr1e-4"": 16, ""b32_lr1e-3"": 32, ""b32_lr1e-4"": 32}"
training.class_count_basis,"{""b16_lr1e-4"": ""row"", ""b32_lr1e-3"": ""row"", ""b32_lr1e-4"": ""row""}"
training.class_weighting,"{""b16_lr1e-4"": ""outer_train_window_inverse_frequency"", ""b32_lr1e-3"": ""outer_train_window_inverse_frequency"", ""b32_lr1e-4"": ""outer_train_window_inverse_frequency""}"
training.fixed_epochs,"{""b16_lr1e-4"": 10, ""b32_lr1e-3"": 10, ""b32_lr1e-4"": 10}"
training.learning_rate,"{""b16_lr1e-4"": 0.0001, ""b32_lr1e-3"": 0.001, ""b32_lr1e-4"": 0.0001}"
training.optimizer,"{""b16_lr1e-4"": ""adamw"", ""b32_lr1e-3"": ""adamw"", ""b32_lr1e-4"": ""adamw""}"
training.sampler,"{""b16_lr1e-4"": ""exhaustive_shuffle_without_replacement"", ""b32_lr1e-3"": ""exhaustive_shuffle_without_replacement"", ""b32_lr1e-4"": ""exhaustive_shuffle_without_replacement""}"
windows.raw_dl.hop_s,"{""b16_lr1e-4"": 2.5, ""b32_lr1e-3"": 2.5, ""b32_lr1e-4"": 2.5}"
windows.raw_dl.length_s,"{""b16_lr1e-4"": 5.0, ""b32_lr1e-3"": 5.0, ""b32_lr1e-4"": 5.0}"
