section,source,item,endpoint,balanced_accuracy,macro_f1,roc_auc,uncertainty_or_distribution,p_value_or_test,interpretation
Historical candidates,20260527+20260528 matched,CNN1D,subject grouped-CV,70.3,70.8,N/A,"repeat sample SD 4.5/4.8; BA t-CI [64.7,75.9]","vs Shape F1 exact repeat sign-flip raw P=.0625; Holm=.1875","candidate; legacy selection-contaminated"
Historical candidates,20260527+20260528 matched,InceptionTime,subject grouped-CV,72.7,72.3,N/A,"repeat sample SD 6.0/5.9; BA t-CI [65.2,80.2]","vs CNN BA raw P=.500; vs Shape raw P=.0625; Shape Holm=.1875","descriptive leader; candidate; not confirmatory"
Historical candidates,20260527+20260528 matched,ShapeFormer-PISD,subject grouped-CV,61.6,60.5,N/A,"repeat sample SD 4.5/5.1; BA t-CI [55.9,67.2]","all Shape comparisons Holm P=.1875","not advanced: 5/5 lower and 12.3× Inception runtime"
Historical fixed epoch,20260608,s1_085 ep10 dropout0,subject grouped OOF,62.3,62.6,N/A,"BA 62.3±7.0 t-CI [53.6,71.0]",N/A,"point leader among 186 post-hoc configurations; hypothesis only"
Historical fixed epoch,20260608,s1_163 ep15 dropout.5,subject grouped OOF,61.2,61.7,N/A,"BA 61.2±3.1 t-CI [57.4,65.0]",N/A,"lower variance and stronger repeat-wise worst-class F1; hypothesis only"
Historical SQI extension,20260625,s1_122 ep15 top50+quality weighting,subject grouped OOF,61.0,60.4,N/A,"BA 61.0±6.1 t-CI [53.4,68.6]",N/A,"post-hoc point co-leader; high variability"
Historical SQI extension,20260625,s1_102 ep15 top50+mean probability,subject grouped OOF,61.0,60.1,N/A,"BA 61.0±2.1 t-CI [58.4,63.6]",N/A,"same BA with greater stability than s1_122; motivates SQI test"
V2 matched ablation,20260821 Stage3 star,CompactCNN B0,participant OOF,53.8,52.9,N/A,"mean±SD 53.8±6.1 / 52.9±5.9",see source comparison inference,"within-model reference"
V2 matched ablation,20260821 Stage3 star,CompactCNN B2 5s/2.5s,participant OOF,56.9,57.2,N/A,"delta vs B0 +3.1±11.2 BA pp",see source comparison inference,"best CNN point estimate; broad uncertainty"
V2 matched ablation,20260821 Stage3 star,CompactCNN B7 Line-B aggregation,participant OOF,54.7,54.0,N/A,"delta vs B0 +0.9±3.7 BA pp",see source comparison inference,"small positive model-specific signal"
