case_id,repeat,fold,quality_mode,artifact_reducer_name,artifact_reducer_version,participant_id,record_id,retained,role,route_artifact,route_status,route_artifacts_artifact,components,diagnostic_reason,rejection_reason,signal_route,quality_diagnostics_artifact
inception_full__l0_legacy64_w15_fixed10,0,0,,identity,identity_v1,AB_01,frailty3:AB_01:R4,True,R4,"{""affects_aggregation"": false, ""affects_prediction"": false, ""affects_retention"": false, ""classification_action"": ""keep_unchanged"", ""profile_id"": ""L0"", ""quality_mode"": ""off"", ""schema_version"": ""ppg_frailty.legacy_bridge_route.v1"", ""state"": ""direct_fresh_raw_csv""}",retained_legacy_bridge_fresh_raw_quality_off,repeat_00_fold_00/route_artifacts.json,,,,,
inception_full__l0_legacy64_w15_fixed10,0,0,,identity,identity_v1,AB_01,frailty3:AB_01:R1,True,R1,"{""affects_aggregation"": false, ""affects_prediction"": false, ""affects_retention"": false, ""classification_action"": ""keep_unchanged"", ""profile_id"": ""L0"", ""quality_mode"": ""off"", ""schema_version"": ""ppg_frailty.legacy_bridge_route.v1"", ""state"": ""direct_fresh_raw_csv""}",retained_legacy_bridge_fresh_raw_quality_off,repeat_00_fold_00/route_artifacts.json,,,,,
inception_full__l0_legacy64_w15_fixed10,0,0,,identity,identity_v1,AB_01,frailty3:AB_01:B,True,B,"{""affects_aggregation"": false, ""affects_prediction"": false, ""affects_retention"": false, ""classification_action"": ""keep_unchanged"", ""profile_id"": ""L0"", ""quality_mode"": ""off"", ""schema_version"": ""ppg_frailty.legacy_bridge_route.v1"", ""state"": ""direct_fresh_raw_csv""}",retained_legacy_bridge_fresh_raw_quality_off,repeat_00_fold_00/route_artifacts.json,,,,,
inception_full__l0_legacy64_w15_fixed10,0,0,,identity,identity_v1,AB_01,frailty3:AB_01:R2,True,R2,"{""affects_aggregation"": false, ""affects_prediction"": false, ""affects_retention"": false, ""classification_action"": ""keep_unchanged"", ""profile_id"": ""L0"", ""quality_mode"": ""off"", ""schema_version"": ""ppg_frailty.legacy_bridge_route.v1"", ""state"": ""direct_fresh_raw_csv""}",retained_legacy_bridge_fresh_raw_quality_off,repeat_00_fold_00/route_artifacts.json,,,,,
inception_full__l0_legacy64_w15_fixed10,0,0,,identity,identity_v1,AB_01,frailty3:AB_01:R3,True,R3,"{""affects_aggregation"": false, ""affects_prediction"": false, ""affects_retention"": false, ""classification_action"": ""keep_unchanged"", ""profile_id"": ""L0"", ""quality_mode"": ""off"", ""schema_version"": ""ppg_frailty.legacy_bridge_route.v1"", ""state"": ""direct_fresh_raw_csv""}",retained_legacy_bridge_fresh_raw_quality_off,repeat_00_fold_00/route_artifacts.json,,,,,
inception_full__l0_legacy64_w15_fixed10,0,0,,identity,identity_v1,AKE28_03,frailty3:AKE28_03:R1,True,R1,"{""affects_aggregation"": false, ""affects_prediction"": false, ""affects_retention"": false, ""classification_action"": ""keep_unchanged"", ""profile_id"": ""L0"", ""quality_mode"": ""off"", ""schema_version"": ""ppg_frailty.legacy_bridge_route.v1"", ""state"": ""direct_fresh_raw_csv""}",retained_legacy_bridge_fresh_raw_quality_off,repeat_00_fold_00/route_artifacts.json,,,,,
inception_full__l0_legacy64_w15_fixed10,0,0,,identity,identity_v1,AKE28_03,frailty3:AKE28_03:R4,True,R4,"{""affects_aggregation"": false, ""affects_prediction"": false, ""affects_retention"": false, ""classification_action"": ""keep_unchanged"", ""profile_id"": ""L0"", ""quality_mode"": ""off"", ""schema_version"": ""ppg_frailty.legacy_bridge_route.v1"", ""state"": ""direct_fresh_raw_csv""}",retained_legacy_bridge_fresh_raw_quality_off,repeat_00_fold_00/route_artifacts.json,,,,,
inception_full__l0_legacy64_w15_fixed10,0,0,,identity,identity_v1,AKE28_03,frailty3:AKE28_03:R2,True,R2,"{""affects_aggregation"": false, ""affects_prediction"": false, ""affects_retention"": false, ""classification_action"": ""keep_unchanged"", ""profile_id"": ""L0"", ""quality_mode"": ""off"", ""schema_version"": ""ppg_frailty.legacy_bridge_route.v1"", ""state"": ""direct_fresh_raw_csv""}",retained_legacy_bridge_fresh_raw_quality_off,repeat_00_fold_00/route_artifacts.json,,,,,
inception_full__l0_legacy64_w15_fixed10,0,0,,identity,identity_v1,AKE28_03,frailty3:AKE28_03:R3,True,R3,"{""affects_aggregation"": false, ""affects_prediction"": false, ""affects_retention"": false, ""classification_action"": ""keep_unchanged"", ""profile_id"": ""L0"", ""quality_mode"": ""off"", ""schema_version"": ""ppg_frailty.legacy_bridge_route.v1"", ""state"": ""direct_fresh_raw_csv""}",retained_legacy_bridge_fresh_raw_quality_off,repeat_00_fold_00/route_artifacts.json,,,,,
inception_full__l0_legacy64_w15_fixed10,0,0,,identity,identity_v1,AKE28_03,frailty3:AKE28_03:B,True,B,"{""affects_aggregation"": false, ""affects_prediction"": false, ""affects_retention"": false, ""classification_action"": ""keep_unchanged"", ""profile_id"": ""L0"", ""quality_mode"": ""off"", ""schema_version"": ""ppg_frailty.legacy_bridge_route.v1"", ""state"": ""direct_fresh_raw_csv""}",retained_legacy_bridge_fresh_raw_quality_off,repeat_00_fold_00/route_artifacts.json,,,,,
inception_full__l0_legacy64_w15_fixed10,0,0,,identity,identity_v1,AKO19_01,frailty3:AKO19_01:R2,True,R2,"{""affects_aggregation"": false, ""affects_prediction"": false, ""affects_retention"": false, ""classification_action"": ""keep_unchanged"", ""profile_id"": ""L0"", ""quality_mode"": ""off"", ""schema_version"": ""ppg_frailty.legacy_bridge_route.v1"", ""state"": ""direct_fresh_raw_csv""}",retained_legacy_bridge_fresh_raw_quality_off,repeat_00_fold_00/route_artifacts.json,,,,,
inception_full__l0_legacy64_w15_fixed10,0,0,,identity,identity_v1,AKO19_01,frailty3:AKO19_01:R3,True,R3,"{""affects_aggregation"": false, ""affects_prediction"": false, ""affects_retention"": false, ""classification_action"": ""keep_unchanged"", ""profile_id"": ""L0"", ""quality_mode"": ""off"", ""schema_version"": ""ppg_frailty.legacy_bridge_route.v1"", ""state"": ""direct_fresh_raw_csv""}",retained_legacy_bridge_fresh_raw_quality_off,repeat_00_fold_00/route_artifacts.json,,,,,
