case_id,changed_values,config_sha256,is_reference,config_id,output_group,catalog_entry,screen_profile_id,rationale,case_directory,resolved_config_path
compact_cnn__b0_star_fixed10,"{""study.catalog_entry"": ""compact_cnn"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B0"", ""study.legacy_bridge_profile_definition_sha256"": ""c8dcd75d9ccd4f363ed7d0f4b3e6b2f25940b5fe6a594e1da1cc82095253148d"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b0_star""}",cb0a3733d3c060221ce057b2242aa78c335b961ba127ea0fbd5daeee894b4b31,True,formal_compact_cnn_line_b_v2__legacy_bridge_b0_star,raw,compact_cnn,legacy_bridge_b0_star,CompactCNN complete legacy-input fixed-10 baseline.,raw/compact_cnn__b0_star_fixed10,raw/compact_cnn__b0_star_fixed10/resolved_config.yaml
inception_full__b0_star_fixed10,"{""study.catalog_entry"": ""inception_full"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B0"", ""study.legacy_bridge_profile_definition_sha256"": ""c8dcd75d9ccd4f363ed7d0f4b3e6b2f25940b5fe6a594e1da1cc82095253148d"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b0_star""}",d677ebfc0ad2c3807bfe4fd081aea555d738d001f7f503845d23e5be5da56721,False,formal_inception_full_line_b_v2__legacy_bridge_b0_star,raw,inception_full,legacy_bridge_b0_star,InceptionTimeFull under the identical model-neutral B0 controls.,raw/inception_full__b0_star_fixed10,raw/inception_full__b0_star_fixed10/resolved_config.yaml
compact_cnn__b1_star_fixed10,"{""study.catalog_entry"": ""compact_cnn"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B1"", ""study.legacy_bridge_profile_definition_sha256"": ""78a06f91022034b52bda3fcaf5b3e41202a585a28c0058f42b507e6017a965d8"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b1_star""}",8ac2f60e3873e70ffead7f96b03c7eac6cf7a4437f5ba19083fd7f02cf7ce77d,False,formal_compact_cnn_line_b_v2__legacy_bridge_b1_star,raw,compact_cnn,legacy_bridge_b1_star,CompactCNN B0 with only target sample rate changed from 64 to 400 Hz.,raw/compact_cnn__b1_star_fixed10,raw/compact_cnn__b1_star_fixed10/resolved_config.yaml
inception_full__b1_star_fixed10,"{""study.catalog_entry"": ""inception_full"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B1"", ""study.legacy_bridge_profile_definition_sha256"": ""78a06f91022034b52bda3fcaf5b3e41202a585a28c0058f42b507e6017a965d8"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b1_star""}",a841a828a7bc9c813349857da45a90cb144d246760eb7b8b25517935bc9dd2cc,False,formal_inception_full_line_b_v2__legacy_bridge_b1_star,raw,inception_full,legacy_bridge_b1_star,InceptionTimeFull B0 with only target sample rate changed from 64 to 400 Hz.,raw/inception_full__b1_star_fixed10,raw/inception_full__b1_star_fixed10/resolved_config.yaml
compact_cnn__b2_star_fixed10,"{""study.catalog_entry"": ""compact_cnn"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B2"", ""study.legacy_bridge_profile_definition_sha256"": ""9ed2c8b649171cd4c46468444c7e8097aff71e5fbaa2769010abf78abbf289e7"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b2_star""}",ef38098a09e4d418faf24986e7e1fc76dbcb3fa0e01398c0b3dfb717f3e2db22,False,formal_compact_cnn_line_b_v2__legacy_bridge_b2_star,raw,compact_cnn,legacy_bridge_b2_star,CompactCNN B0 with only the window length/hop changed to 5/2.5 seconds.,raw/compact_cnn__b2_star_fixed10,raw/compact_cnn__b2_star_fixed10/resolved_config.yaml
inception_full__b2_star_fixed10,"{""study.catalog_entry"": ""inception_full"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B2"", ""study.legacy_bridge_profile_definition_sha256"": ""9ed2c8b649171cd4c46468444c7e8097aff71e5fbaa2769010abf78abbf289e7"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b2_star""}",c97202eeac287dbf19f160705def5a0c6a43682ca80788e840fdfb63ace8bb03,False,formal_inception_full_line_b_v2__legacy_bridge_b2_star,raw,inception_full,legacy_bridge_b2_star,InceptionTimeFull B0 with only the window length/hop changed to 5/2.5 seconds.,raw/inception_full__b2_star_fixed10,raw/inception_full__b2_star_fixed10/resolved_config.yaml
compact_cnn__b3_star_fixed10,"{""study.catalog_entry"": ""compact_cnn"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B3"", ""study.legacy_bridge_profile_definition_sha256"": ""79c93fa7a031a775b0c53db29de6b05e9199d5aacf59f0ba6dc58e2a98fc76ca"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b3_star""}",45aef71dc09bdd2349041381547018007f11453272fbd305dd396a60e610181e,False,formal_compact_cnn_line_b_v2__legacy_bridge_b3_star,raw,compact_cnn,legacy_bridge_b3_star,CompactCNN B0 with only IMU semantics changed to calibrated EKF dynamic acceleration.,raw/compact_cnn__b3_star_fixed10,raw/compact_cnn__b3_star_fixed10/resolved_config.yaml
inception_full__b3_star_fixed10,"{""study.catalog_entry"": ""inception_full"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B3"", ""study.legacy_bridge_profile_definition_sha256"": ""79c93fa7a031a775b0c53db29de6b05e9199d5aacf59f0ba6dc58e2a98fc76ca"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b3_star""}",b35362bc5d5c59f30a4457bd8b2b0c5dc7c9f515371de3bba080111f7cdf72d7,False,formal_inception_full_line_b_v2__legacy_bridge_b3_star,raw,inception_full,legacy_bridge_b3_star,InceptionTimeFull B0 with only IMU semantics changed to calibrated EKF dynamic acceleration.,raw/inception_full__b3_star_fixed10,raw/inception_full__b3_star_fixed10/resolved_config.yaml
compact_cnn__b4_star_fixed10,"{""study.catalog_entry"": ""compact_cnn"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B4"", ""study.legacy_bridge_profile_definition_sha256"": ""c6fff508674ef56cf5606d1a6cf3b3be511f056c1590438933bedbe2aac46cec"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b4_star""}",5aaf6e6de9d848a4f5aeb4ea402cf3baf189768d5b42fe3a47235099657cdc7f,False,formal_compact_cnn_line_b_v2__legacy_bridge_b4_star,raw,compact_cnn,legacy_bridge_b4_star,CompactCNN B0 with only normalization changed to PPG-window plus outer-train IMU-fold scaling.,raw/compact_cnn__b4_star_fixed10,raw/compact_cnn__b4_star_fixed10/resolved_config.yaml
inception_full__b4_star_fixed10,"{""study.catalog_entry"": ""inception_full"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B4"", ""study.legacy_bridge_profile_definition_sha256"": ""c6fff508674ef56cf5606d1a6cf3b3be511f056c1590438933bedbe2aac46cec"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b4_star""}",d7555918c4527d045353e761b76c1cf0152ffb08b95e880e10bd26b84770b572,False,formal_inception_full_line_b_v2__legacy_bridge_b4_star,raw,inception_full,legacy_bridge_b4_star,InceptionTimeFull B0 with only normalization changed to PPG-window plus outer-train IMU-fold scaling.,raw/inception_full__b4_star_fixed10,raw/inception_full__b4_star_fixed10/resolved_config.yaml
