case_id,balance_line,declared_source_line,resolved_config_balance_line,source_line_provenance,selected_cell_validation,view_role,case_status,quality_weighting,quality_weight_source,resolved_config_path,primary_ranking_eligible,participant_balanced_accuracy_mean_sd,participant_balanced_accuracy_repeat_ci95,participant_macro_f1_mean_sd,participant_macro_f1_repeat_ci95,worst_class_recall,worst_class_f1,expected_calibration_error,repeat_worst_class_recall_population_sd,repeat_worst_class_f1_population_sd,repeat_expected_calibration_error_population_sd,repeat_count,participant_oof_prediction_count,participant_oof_total_count,dropped_participant_oof_count,file_oof_prediction_count,retained_file_oof_prediction_count,dropped_file_oof_prediction_count,source_replay_validation,metric_source,line_a_minus_line_b_balanced_accuracy,line_a_minus_line_b_macro_f1
compact_cnn__b0_star_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,declared_source_line,passed,False,none,raw/compact_cnn__b0_star_fixed10/resolved_config.yaml,True,53.8 ± 6.1,"[45.3, 62.2]",52.9 ± 5.9,"[44.7, 61.2]",0.4,0.44403162055335976,0.3022727031878779,0.097182531580755,0.0594283463567739,0.034553859018326756,5,145,145,0,725,725,0,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,file_oof_reaggregation,-0.0092592592592593,-0.010943087264261186
compact_cnn__b0_star_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,posthoc_aggregation_only,passed,False,none,raw/compact_cnn__b0_star_fixed10/resolved_config.yaml,False,54.7 ± 6.4,"[45.8, 63.6]",54.0 ± 6.5,"[45.0, 63.1]",0.41666666666666663,0.4783126847576975,0.29281710401192523,0.10540925533894598,0.08592478766529016,0.04437672812475238,5,145,145,0,725,725,0,not_applicable_posthoc_view,file_oof_reaggregation,-0.0092592592592593,-0.010943087264261186
compact_cnn__b1_star_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,declared_source_line,passed,False,none,raw/compact_cnn__b1_star_fixed10/resolved_config.yaml,True,44.9 ± 8.3,"[33.4, 56.5]",43.9 ± 9.8,"[30.3, 57.5]",0.275,0.2989743589743589,0.2977563284834531,0.19999999999999998,0.19463953770597534,0.03750180972386644,5,145,145,0,725,725,0,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,file_oof_reaggregation,-0.020370370370370372,-0.022530918800268696
compact_cnn__b1_star_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,posthoc_aggregation_only,passed,False,none,raw/compact_cnn__b1_star_fixed10/resolved_config.yaml,False,46.9 ± 4.5,"[40.7, 53.1]",46.1 ± 7.2,"[36.1, 56.1]",0.275,0.35128205128205126,0.3334049647772613,0.1457737973711325,0.1844728794728713,0.026678175079758646,5,145,145,0,725,725,0,not_applicable_posthoc_view,file_oof_reaggregation,-0.020370370370370372,-0.022530918800268696
compact_cnn__b2_star_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,declared_source_line,passed,False,none,raw/compact_cnn__b2_star_fixed10/resolved_config.yaml,True,56.9 ± 5.3,"[49.5, 64.2]",57.2 ± 6.2,"[48.6, 65.8]",0.39444444444444443,0.44268780239368477,0.20152098638509872,0.08678055195451839,0.09702196546031665,0.07346812714118821,5,145,145,0,725,725,0,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,file_oof_reaggregation,0.04907407407407405,0.05170811444212697
compact_cnn__b2_star_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,posthoc_aggregation_only,passed,False,none,raw/compact_cnn__b2_star_fixed10/resolved_config.yaml,False,51.9 ± 6.7,"[42.7, 61.2]",52.0 ± 7.7,"[41.3, 62.7]",0.35277777777777775,0.4219060166886254,0.2358765224808534,0.08766518798921943,0.06975716012804348,0.06976499291517936,5,145,145,0,725,725,0,not_applicable_posthoc_view,file_oof_reaggregation,0.04907407407407405,0.05170811444212697
compact_cnn__b3_star_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,declared_source_line,passed,False,none,raw/compact_cnn__b3_star_fixed10/resolved_config.yaml,True,47.2 ± 8.4,"[35.6, 58.9]",47.6 ± 8.5,"[35.8, 59.5]",0.31666666666666665,0.37069264069264074,0.33601720225566584,0.09718253158075502,0.07301371133349102,0.08766494867485174,5,145,145,0,725,725,0,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,file_oof_reaggregation,0.00833333333333336,0.011141823194400435
compact_cnn__b3_star_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,posthoc_aggregation_only,passed,False,none,raw/compact_cnn__b3_star_fixed10/resolved_config.yaml,False,46.4 ± 6.3,"[37.7, 55.1]",46.5 ± 7.2,"[36.5, 56.6]",0.3194444444444444,0.3542758857929137,0.3173338902919103,0.1217161238900369,0.08531601793591337,0.03954732335939688,5,145,145,0,725,725,0,not_applicable_posthoc_view,file_oof_reaggregation,0.00833333333333336,0.011141823194400435
compact_cnn__b4_star_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,declared_source_line,passed,False,none,raw/compact_cnn__b4_star_fixed10/resolved_config.yaml,True,43.3 ± 3.3,"[38.8, 47.9]",42.8 ± 3.1,"[38.5, 47.1]",0.3083333333333333,0.34326993955476925,0.35659261629118805,0.049999999999999996,0.04803424255384806,0.02906392233348403,5,145,145,0,725,725,0,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,file_oof_reaggregation,0.012962962962962898,0.005690111025328903
compact_cnn__b4_star_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,posthoc_aggregation_only,passed,False,none,raw/compact_cnn__b4_star_fixed10/resolved_config.yaml,False,42.0 ± 2.4,"[38.7, 45.4]",42.2 ± 2.6,"[38.6, 45.9]",0.3194444444444445,0.3305050505050505,0.36054354151269974,0.07349309197401642,0.05944476626844907,0.03206332866707832,5,145,145,0,725,725,0,not_applicable_posthoc_view,file_oof_reaggregation,0.012962962962962898,0.005690111025328903
