case_id,changed_values,config_sha256,is_reference,config_id,output_group,catalog_entry,screen_profile_id,rationale,case_directory,resolved_config_path
compact_cnn__fs100,"{""model.dilations"": [1, 1, 1], ""signal.dl_resampling.enabled"": true, ""signal.dl_resampling.target_fs_hz"": 100.0, ""study.catalog_entry"": ""compact_cnn"", ""study.formal_profile"": ""fixed_kernel_samples/compactcnn1d__fs_100"", ""study.screen_profile_id"": ""fs100""}",bbe1bdeb86bcaa590d0f6216737fe5c0436f43f54159f650a549b9c403a199f8,False,formal_compact_cnn_line_b_v2__fs100,raw,compact_cnn,fs100,Registered fixed-kernel DL input at 100 Hz; all optimizer controls remain fixed.,raw/compact_cnn__fs100,raw/compact_cnn__fs100/resolved_config.yaml
compact_cnn__fs200,"{""model.dilations"": [1, 1, 1], ""signal.dl_resampling.enabled"": true, ""signal.dl_resampling.target_fs_hz"": 200.0, ""study.catalog_entry"": ""compact_cnn"", ""study.formal_profile"": ""fixed_kernel_samples/compactcnn1d__fs_200"", ""study.screen_profile_id"": ""fs200""}",46b56748fd67cf1faa6c6131a481b44bd7cf57c7a9c301215a2c760ebdbbede1,False,formal_compact_cnn_line_b_v2__fs200,raw,compact_cnn,fs200,Registered fixed-kernel DL input at 200 Hz; all optimizer controls remain fixed.,raw/compact_cnn__fs200,raw/compact_cnn__fs200/resolved_config.yaml
compact_cnn__fs400_reference,"{""model.dilations"": [1, 1, 1], ""signal.dl_resampling.enabled"": false, ""signal.dl_resampling.target_fs_hz"": 400.0, ""study.catalog_entry"": ""compact_cnn"", ""study.formal_profile"": ""fixed_kernel_samples/compactcnn1d__reference"", ""study.screen_profile_id"": ""fs400_reference""}",3b7bf226ffd87d125d05a4040663bb53a8543b3df2a78abf8d7519cb1dc879f9,False,formal_compact_cnn_line_b_v2__fs400_reference,raw,compact_cnn,fs400_reference,Registered fixed-kernel DL input at 400 Hz; all optimizer controls remain fixed.,raw/compact_cnn__fs400_reference,raw/compact_cnn__fs400_reference/resolved_config.yaml
inception_full__fs100,"{""model.dilation"": 1, ""signal.dl_resampling.enabled"": true, ""signal.dl_resampling.target_fs_hz"": 100.0, ""study.catalog_entry"": ""inception_full"", ""study.formal_profile"": ""fixed_kernel_samples/inceptiontimefull__fs_100"", ""study.screen_profile_id"": ""fs100""}",5d0b5ab2fe7af665ad5effde4c43c85cfde1bed9ef64ae80fc64d70e8392b963,False,formal_inception_full_line_b_v2__fs100,raw,inception_full,fs100,Registered fixed-kernel DL input at 100 Hz; all optimizer controls remain fixed.,raw/inception_full__fs100,raw/inception_full__fs100/resolved_config.yaml
inception_full__fs200,"{""model.dilation"": 1, ""signal.dl_resampling.enabled"": true, ""signal.dl_resampling.target_fs_hz"": 200.0, ""study.catalog_entry"": ""inception_full"", ""study.formal_profile"": ""fixed_kernel_samples/inceptiontimefull__fs_200"", ""study.screen_profile_id"": ""fs200""}",734f65d96d079b07e02125ab0ead9c467b0af6c01ae4daf8fbc4a87160af5156,False,formal_inception_full_line_b_v2__fs200,raw,inception_full,fs200,Registered fixed-kernel DL input at 200 Hz; all optimizer controls remain fixed.,raw/inception_full__fs200,raw/inception_full__fs200/resolved_config.yaml
inception_full__fs400_reference,"{""model.dilation"": 1, ""signal.dl_resampling.enabled"": false, ""signal.dl_resampling.target_fs_hz"": 400.0, ""study.catalog_entry"": ""inception_full"", ""study.formal_profile"": ""fixed_kernel_samples/inceptiontimefull__reference"", ""study.screen_profile_id"": ""fs400_reference""}",2b576e58031693e37532369415bc13404b426c4f208b8ea3d20c8a9e6a9a666a,False,formal_inception_full_line_b_v2__fs400_reference,raw,inception_full,fs400_reference,Registered fixed-kernel DL input at 400 Hz; all optimizer controls remain fixed.,raw/inception_full__fs400_reference,raw/inception_full__fs400_reference/resolved_config.yaml
inception_small__lr3e4_wd1e3,"{""study.catalog_entry"": ""inception_small"", ""study.screen_profile_id"": ""lr3e4_wd1e3"", ""training.learning_rate"": 0.0003, ""training.weight_decay"": 0.001}",12fa823405f934528101daa0d422f30bc515ffeb25e94350b3b4bd5fa2123b7c,False,formal_inception_small_line_b_v2__lr3e4_wd1e3,raw,inception_small,lr3e4_wd1e3,Sparse log-scale optimizer profile; raw input remains canonical 400 Hz.,raw/inception_small__lr3e4_wd1e3,raw/inception_small__lr3e4_wd1e3/resolved_config.yaml
inception_small__lr1e3_wd1e4,"{""study.catalog_entry"": ""inception_small"", ""study.screen_profile_id"": ""lr1e3_wd1e4"", ""training.learning_rate"": 0.001, ""training.weight_decay"": 0.0001}",1ba2386b2e1914d103beeb590b9aae7cf4fe615a78386d5e316c588fa7eea4f8,False,formal_inception_small_line_b_v2__lr1e3_wd1e4,raw,inception_small,lr1e3_wd1e4,Sparse log-scale optimizer profile; raw input remains canonical 400 Hz.,raw/inception_small__lr1e3_wd1e4,raw/inception_small__lr1e3_wd1e4/resolved_config.yaml
inception_small__lr3e3_wd1e5,"{""study.catalog_entry"": ""inception_small"", ""study.screen_profile_id"": ""lr3e3_wd1e5"", ""training.learning_rate"": 0.003, ""training.weight_decay"": 1e-05}",1ed44547c0065ee77142b88d8c3d0e2608a04174ab5e254952c5b446c1d55147,False,formal_inception_small_line_b_v2__lr3e3_wd1e5,raw,inception_small,lr3e3_wd1e5,Sparse log-scale optimizer profile; raw input remains canonical 400 Hz.,raw/inception_small__lr3e3_wd1e5,raw/inception_small__lr3e3_wd1e5/resolved_config.yaml
inception_matrix__lr3e4_wd1e3,"{""study.catalog_entry"": ""inception_matrix"", ""study.screen_profile_id"": ""lr3e4_wd1e3"", ""training.learning_rate"": 0.0003, ""training.weight_decay"": 0.001}",df93a5b537149c10c496bb0fee1da699b318c927b3f81174c270f4a97fdcc3bb,False,formal_inception_matrix_line_b_v2__lr3e4_wd1e3,feature_matrix,inception_matrix,lr3e4_wd1e3,Sparse log-scale optimizer profile on the fixed engineered matrix.,feature_matrix/inception_matrix__lr3e4_wd1e3,feature_matrix/inception_matrix__lr3e4_wd1e3/resolved_config.yaml
