source_study,source_kind,source_file,size_bytes,sha256
20260608_1206_overfitting_sweep_stage1_rank2,root_manifest_or_run_table,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/_overfitting_sweep/20260608_1206_overfitting_sweep_stage1_rank2/overfitting_manifest.json,123229,6782995734105393d21cf22990180be342f4b2bb6c752f4edd657ed44c09f181
20260608_1206_overfitting_sweep_stage1_rank2,root_manifest_or_run_table,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/_overfitting_sweep/20260608_1206_overfitting_sweep_stage1_rank2/overfitting_runs.csv,1364756,ddce5aceafd08318fbd22135db4105b2efbbf786b94c911a3c80ff7fd1def55e
20260608_1206_overfitting_sweep_stage1_rank2,root_manifest_or_run_table,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/_overfitting_sweep/20260608_1206_overfitting_sweep_stage1_rank2/overfitting_summary.csv,324355,0b2d0458d220bdda06be4118dccca3f0898d7e23a787fe49c01b7a1ae325f1cf
20260608_1206_overfitting_sweep_stage1_rank2,consumed_report_json,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/_overfitting_sweep/20260608_1206_overfitting_sweep_stage1_rank2/reports/ref_rank2_fixed_epoch/rank02_r1_inceptiontime_extra-0_seq5_ov50_cv5_static_only_seed42_report.json,72283,251f967e2a1abbe75686d23516f0414151d453b9acee5abde0b549165c02bf69
20260608_1206_overfitting_sweep_stage1_rank2,consumed_report_json,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/_overfitting_sweep/20260608_1206_overfitting_sweep_stage1_rank2/reports/ref_rank2_fixed_epoch/rank02_r2_inceptiontime_extra-0_seq5_ov50_cv5_static_only_seed10042_report.json,72250,3139fbfb1896ccd2592a0d1551c39f6ef899c4bd42e7aad9ca9a8c90cd8996f3
20260608_1206_overfitting_sweep_stage1_rank2,consumed_report_json,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/_overfitting_sweep/20260608_1206_overfitting_sweep_stage1_rank2/reports/ref_rank2_fixed_epoch/rank02_r3_inceptiontime_extra-0_seq5_ov50_cv5_static_only_seed20042_report.json,72295,ff4ce99b59805c7ebba6843ffc0477b98c137edd5b8a811c88b2679e4d4cea77
20260608_1206_overfitting_sweep_stage1_rank2,consumed_report_json,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/_overfitting_sweep/20260608_1206_overfitting_sweep_stage1_rank2/reports/ref_rank2_fixed_epoch/rank02_r4_inceptiontime_extra-0_seq5_ov50_cv5_static_only_seed30042_report.json,72336,389170fd51f8c9a28679f60ad75073d89db5785d89189ccfcbbb6f341e8f66df
20260608_1206_overfitting_sweep_stage1_rank2,consumed_report_json,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/_overfitting_sweep/20260608_1206_overfitting_sweep_stage1_rank2/reports/ref_rank2_fixed_epoch/rank02_r5_inceptiontime_extra-0_seq5_ov50_cv5_static_only_seed40042_report.json,72160,b3c1e8f5d3879a80b057a3857c05cdc1a704b910d04f9912acb727936463855b
20260608_1206_overfitting_sweep_stage1_rank2,consumed_report_json,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/_overfitting_sweep/20260608_1206_overfitting_sweep_stage1_rank2/reports/s1_001/rank02_r1_inceptiontime_extra-0_seq5_ov50_cv5_static_only_seed42_report.json,17340,a895334518596404ceee02e882414ada5226af4fb67a8a99642bf947be8af6a7
20260608_1206_overfitting_sweep_stage1_rank2,consumed_report_json,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/_overfitting_sweep/20260608_1206_overfitting_sweep_stage1_rank2/reports/s1_001/rank02_r2_inceptiontime_extra-0_seq5_ov50_cv5_static_only_seed10042_report.json,17375,d0b587f0cb391e75f09b2a5801e9abdeb4b4653b411fb72f6ab6c5c21314335f
20260608_1206_overfitting_sweep_stage1_rank2,consumed_report_json,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/_overfitting_sweep/20260608_1206_overfitting_sweep_stage1_rank2/reports/s1_001/rank02_r3_inceptiontime_extra-0_seq5_ov50_cv5_static_only_seed20042_report.json,17296,91fbde67ba0c42747f146f5c74ed6475c657c8aaf29638dce18ecddc0f3fcd23
20260608_1206_overfitting_sweep_stage1_rank2,consumed_report_json,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/_overfitting_sweep/20260608_1206_overfitting_sweep_stage1_rank2/reports/s1_001/rank02_r4_inceptiontime_extra-0_seq5_ov50_cv5_static_only_seed30042_report.json,17300,0aaf0ed6e550fa7c02791e1336af64d91b1a60750d5ae080b778ad25c5fe0f8b
20260608_1206_overfitting_sweep_stage1_rank2,consumed_report_json,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/_overfitting_sweep/20260608_1206_overfitting_sweep_stage1_rank2/reports/s1_001/rank02_r5_inceptiontime_extra-0_seq5_ov50_cv5_static_only_seed40042_report.json,17368,ca48c37aef14f93631de8e15f104a2a5e701f98f3937a6dc23ab72ae71eab141
20260608_1206_overfitting_sweep_stage1_rank2,consumed_report_json,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/_overfitting_sweep/20260608_1206_overfitting_sweep_stage1_rank2/reports/s1_002/rank02_r1_inceptiontime_extra-0_seq5_ov50_cv5_static_only_seed42_report.json,17355,dc6af003d3505d20dad6b8d6514ff6055962aa87a6b5fedee707a95b137c7484
20260608_1206_overfitting_sweep_stage1_rank2,consumed_report_json,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/_overfitting_sweep/20260608_1206_overfitting_sweep_stage1_rank2/reports/s1_002/rank02_r2_inceptiontime_extra-0_seq5_ov50_cv5_static_only_seed10042_report.json,17359,3e0879957077e707b1c2da0f3fa5a16f14d09324bd317973f303fe2d06d59de2
20260608_1206_overfitting_sweep_stage1_rank2,consumed_report_json,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/_overfitting_sweep/20260608_1206_overfitting_sweep_stage1_rank2/reports/s1_002/rank02_r3_inceptiontime_extra-0_seq5_ov50_cv5_static_only_seed20042_report.json,17378,39be2887e5f78650702ade7dcf7c0e3bf4e2bac0650893bd2facde649c89be37
20260608_1206_overfitting_sweep_stage1_rank2,consumed_report_json,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/_overfitting_sweep/20260608_1206_overfitting_sweep_stage1_rank2/reports/s1_002/rank02_r4_inceptiontime_extra-0_seq5_ov50_cv5_static_only_seed30042_report.json,17362,6ba1c26772888c1ec250b70c7bc9d31c0729e8d3ad6cc0f4d78711e306cd231b
