parameter_path,case_values
aggregation.balance_line,"{""tuned_all_roles__inception_small_no_gravity"": ""line_b_equal_role_families""}"
artifact.degraded_policy,"{""tuned_all_roles__inception_small_no_gravity"": ""drop""}"
artifact.denoiser_enabled,"{""tuned_all_roles__inception_small_no_gravity"": false}"
artifact.motion_detector_enabled,"{""tuned_all_roles__inception_small_no_gravity"": false}"
artifact.parameters,"{""tuned_all_roles__inception_small_no_gravity"": {}}"
artifact.reducer,"{""tuned_all_roles__inception_small_no_gravity"": ""identity""}"
artifact.reducer_version,"{""tuned_all_roles__inception_small_no_gravity"": ""identity_v1""}"
model.dropout,"{""tuned_all_roles__inception_small_no_gravity"": 0.5}"
quality.mode,"{""tuned_all_roles__inception_small_no_gravity"": ""off""}"
roles,"{""tuned_all_roles__inception_small_no_gravity"": [""B"", ""R1"", ""R2"", ""R3"", ""R4"", ""S1"", ""S2"", ""W1"", ""W2""]}"
signal.dl_resampling.enabled,"{""tuned_all_roles__inception_small_no_gravity"": true}"
signal.dl_resampling.target_fs_hz,"{""tuned_all_roles__inception_small_no_gravity"": 64.0}"
signal.imu.comparison_method,"{""tuned_all_roles__inception_small_no_gravity"": ""profile_a_lowpass_0p3hz""}"
signal.imu.gravity_method,"{""tuned_all_roles__inception_small_no_gravity"": ""sensor_filter_only_no_gravity_removal""}"
signal.normalization.raw_imu,"{""tuned_all_roles__inception_small_no_gravity"": ""none""}"
signal.normalization.raw_ppg,"{""tuned_all_roles__inception_small_no_gravity"": ""per_window_robust""}"
study.catalog_entry,"{""tuned_all_roles__inception_small_no_gravity"": ""inception_small""}"
study.screen_profile_id,"{""tuned_all_roles__inception_small_no_gravity"": ""tuned_all_roles_inception_small_no_gravity_fixed10""}"
training.batch_size,"{""tuned_all_roles__inception_small_no_gravity"": 16}"
training.class_count_basis,"{""tuned_all_roles__inception_small_no_gravity"": ""row""}"
training.class_weighting,"{""tuned_all_roles__inception_small_no_gravity"": ""inverse_frequency""}"
training.classifier_role_families,"{""tuned_all_roles__inception_small_no_gravity"": [""B"", ""R"", ""S"", ""W""]}"
training.fixed_epochs,"{""tuned_all_roles__inception_small_no_gravity"": 10}"
training.label_smoothing,"{""tuned_all_roles__inception_small_no_gravity"": 0.2}"
training.learning_rate,"{""tuned_all_roles__inception_small_no_gravity"": 0.0003}"
training.optimizer,"{""tuned_all_roles__inception_small_no_gravity"": ""adamw""}"
training.sampler,"{""tuned_all_roles__inception_small_no_gravity"": ""exhaustive_shuffle_without_replacement""}"
training.weight_decay,"{""tuned_all_roles__inception_small_no_gravity"": 0.001}"
windows.raw_dl.cap_fraction_per_file,"{""tuned_all_roles__inception_small_no_gravity"": null}"
windows.raw_dl.cap_per_file,"{""tuned_all_roles__inception_small_no_gravity"": 128}"
windows.raw_dl.end_alignment,"{""tuned_all_roles__inception_small_no_gravity"": ""include_right_aligned_if_distinct""}"
windows.raw_dl.hop_s,"{""tuned_all_roles__inception_small_no_gravity"": 2.5}"
windows.raw_dl.length_s,"{""tuned_all_roles__inception_small_no_gravity"": 5.0}"
windows.raw_dl.min_valid_fraction,"{""tuned_all_roles__inception_small_no_gravity"": 1.0}"
windows.raw_dl.padding,"{""tuned_all_roles__inception_small_no_gravity"": ""none_complete_windows_only""}"
