case_id,config_id,parameter_path,value_json
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,aggregation.balance_line,"""line_b_equal_role_families"""
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,aggregation.direct_all_window_participant_mean,false
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,aggregation.file_to_role,"""ordinary_mean"""
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,aggregation.hierarchy,"[""window"",""file"",""role"",""participant""]"
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,aggregation.missing_role_policy,"""mean_available_roles"""
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,aggregation.quality_weight_levels,[]
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,aggregation.quality_weight_source,"""none"""
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,aggregation.quality_weighting,false
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,aggregation.role_to_participant,"""ordinary_mean"""
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,aggregation.window_to_file,"""ordinary_mean"""
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,artifact.degraded_policy,"""drop"""
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,artifact.denoiser_enabled,false
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,artifact.failure_action,"""no_result_no_fallback"""
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,artifact.motion_detector.batch_size,64
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,artifact.motion_detector.device,"""cuda"""
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,artifact.motion_detector.evidence_path,null
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,artifact.motion_detector.expected_evidence_sha256,null
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,artifact.motion_detector.expected_split_registry_sha256,null
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,artifact.motion_detector.reuse_scope,"""all29_smoke_or_final_only"""
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,artifact.motion_detector.threshold_source,"""bundle_frozen"""
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,artifact.motion_detector.window_probability_aggregation,"""native_windows_file_median_diagnostics_only"""
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,artifact.motion_detector_enabled,false
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,artifact.non_identity_output_contract,"""rate_only"""
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,artifact.reducer,"""identity"""
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,artifact.reducer_version,"""identity_v1"""
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,artifact.selection_scope,"""run_before_evaluation"""
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,config_id,"""formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10"""
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,evaluation.calibration_metrics,"[""multiclass_brier"",""expected_calibration_error""]"
tuned_all_roles__inception_small,formal_inception_small_line_b_v2__tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10,evaluation.confidence_interval,"""participant_cluster_bootstrap_two_sided_95"""
