parameter_path,case_values
aggregation.balance_line,"{""inception_full_tuned_static"": ""line_b_equal_role_families"", ""s1_163_v2_port_all_roles_modules_off"": ""line_b_equal_role_families"", ""tuned_all_roles__inception_full"": ""line_b_equal_role_families"", ""tuned_all_roles__inception_small"": ""line_b_equal_role_families"", ""tuned_all_roles__inception_small_no_gravity"": ""line_b_equal_role_families""}"
artifact.degraded_policy,"{""inception_full_tuned_static"": ""drop"", ""s1_163_v2_port_all_roles_modules_off"": ""drop"", ""tuned_all_roles__inception_full"": ""drop"", ""tuned_all_roles__inception_small"": ""drop"", ""tuned_all_roles__inception_small_no_gravity"": ""drop""}"
artifact.denoiser_enabled,"{""inception_full_tuned_static"": false, ""s1_163_v2_port_all_roles_modules_off"": false, ""tuned_all_roles__inception_full"": false, ""tuned_all_roles__inception_small"": false, ""tuned_all_roles__inception_small_no_gravity"": false}"
artifact.motion_detector_enabled,"{""inception_full_tuned_static"": false, ""s1_163_v2_port_all_roles_modules_off"": false, ""tuned_all_roles__inception_full"": false, ""tuned_all_roles__inception_small"": false, ""tuned_all_roles__inception_small_no_gravity"": false}"
artifact.parameters,"{""inception_full_tuned_static"": {}, ""s1_163_v2_port_all_roles_modules_off"": {}, ""tuned_all_roles__inception_full"": {}, ""tuned_all_roles__inception_small"": {}, ""tuned_all_roles__inception_small_no_gravity"": {}}"
artifact.reducer,"{""inception_full_tuned_static"": ""identity"", ""s1_163_v2_port_all_roles_modules_off"": ""identity"", ""tuned_all_roles__inception_full"": ""identity"", ""tuned_all_roles__inception_small"": ""identity"", ""tuned_all_roles__inception_small_no_gravity"": ""identity""}"
artifact.reducer_version,"{""inception_full_tuned_static"": ""identity_v1"", ""s1_163_v2_port_all_roles_modules_off"": ""identity_v1"", ""tuned_all_roles__inception_full"": ""identity_v1"", ""tuned_all_roles__inception_small"": ""identity_v1"", ""tuned_all_roles__inception_small_no_gravity"": ""identity_v1""}"
model.dropout,"{""inception_full_tuned_static"": 0.5, ""s1_163_v2_port_all_roles_modules_off"": 0.5, ""tuned_all_roles__inception_full"": 0.5, ""tuned_all_roles__inception_small"": 0.5, ""tuned_all_roles__inception_small_no_gravity"": 0.5}"
quality.mode,"{""inception_full_tuned_static"": ""off"", ""s1_163_v2_port_all_roles_modules_off"": ""off"", ""tuned_all_roles__inception_full"": ""off"", ""tuned_all_roles__inception_small"": ""off"", ""tuned_all_roles__inception_small_no_gravity"": ""off""}"
roles,"{""inception_full_tuned_static"": [""B"", ""R1"", ""R2"", ""R3"", ""R4""], ""s1_163_v2_port_all_roles_modules_off"": [""B"", ""R1"", ""R2"", ""R3"", ""R4"", ""S1"", ""S2"", ""W1"", ""W2""], ""tuned_all_roles__inception_full"": [""B"", ""R1"", ""R2"", ""R3"", ""R4"", ""S1"", ""S2"", ""W1"", ""W2""], ""tuned_all_roles__inception_small"": [""B"", ""R1"", ""R2"", ""R3"", ""R4"", ""S1"", ""S2"", ""W1"", ""W2""], ""tuned_all_roles__inception_small_no_gravity"": [""B"", ""R1"", ""R2"", ""R3"", ""R4"", ""S1"", ""S2"", ""W1"", ""W2""]}"
signal.dl_resampling.enabled,"{""inception_full_tuned_static"": true, ""s1_163_v2_port_all_roles_modules_off"": true, ""tuned_all_roles__inception_full"": true, ""tuned_all_roles__inception_small"": true, ""tuned_all_roles__inception_small_no_gravity"": true}"
signal.dl_resampling.target_fs_hz,"{""inception_full_tuned_static"": 64.0, ""s1_163_v2_port_all_roles_modules_off"": 64.0, ""tuned_all_roles__inception_full"": 64.0, ""tuned_all_roles__inception_small"": 64.0, ""tuned_all_roles__inception_small_no_gravity"": 64.0}"
signal.imu.comparison_method,"{""inception_full_tuned_static"": ""calibrated_roll_pitch_ekf"", ""s1_163_v2_port_all_roles_modules_off"": ""calibrated_roll_pitch_ekf"", ""tuned_all_roles__inception_full"": ""calibrated_roll_pitch_ekf"", ""tuned_all_roles__inception_small"": ""calibrated_roll_pitch_ekf"", ""tuned_all_roles__inception_small_no_gravity"": ""profile_a_lowpass_0p3hz""}"
signal.imu.gravity_method,"{""inception_full_tuned_static"": ""profile_a_lowpass_0p3hz"", ""s1_163_v2_port_all_roles_modules_off"": ""profile_a_lowpass_0p3hz"", ""tuned_all_roles__inception_full"": ""profile_a_lowpass_0p3hz"", ""tuned_all_roles__inception_small"": ""profile_a_lowpass_0p3hz"", ""tuned_all_roles__inception_small_no_gravity"": ""sensor_filter_only_no_gravity_removal""}"
signal.normalization.raw_imu,"{""inception_full_tuned_static"": ""none"", ""s1_163_v2_port_all_roles_modules_off"": ""none"", ""tuned_all_roles__inception_full"": ""none"", ""tuned_all_roles__inception_small"": ""none"", ""tuned_all_roles__inception_small_no_gravity"": ""none""}"
signal.normalization.raw_ppg,"{""inception_full_tuned_static"": ""per_window_robust"", ""s1_163_v2_port_all_roles_modules_off"": ""per_window_robust"", ""tuned_all_roles__inception_full"": ""per_window_robust"", ""tuned_all_roles__inception_small"": ""per_window_robust"", ""tuned_all_roles__inception_small_no_gravity"": ""per_window_robust""}"
study.catalog_entry,"{""inception_full_tuned_static"": ""inception_full"", ""s1_163_v2_port_all_roles_modules_off"": ""inception_full"", ""tuned_all_roles__inception_full"": ""inception_full"", ""tuned_all_roles__inception_small"": ""inception_small"", ""tuned_all_roles__inception_small_no_gravity"": ""inception_small""}"
study.screen_profile_id,"{""inception_full_tuned_static"": ""v2_tuned_b16_lr3e4_wd001_do50_ls20_fixed10_static"", ""s1_163_v2_port_all_roles_modules_off"": ""historical_s1_163_v2_port_all_roles_modules_off"", ""tuned_all_roles__inception_full"": ""tuned_all_roles_inception_full_fixed10"", ""tuned_all_roles__inception_small"": ""tuned_all_roles_inception_small_64out_b16_f16_d3_fixed10"", ""tuned_all_roles__inception_small_no_gravity"": ""tuned_all_roles_inception_small_no_gravity_fixed10""}"
training.batch_size,"{""inception_full_tuned_static"": 16, ""s1_163_v2_port_all_roles_modules_off"": 32, ""tuned_all_roles__inception_full"": 16, ""tuned_all_roles__inception_small"": 16, ""tuned_all_roles__inception_small_no_gravity"": 16}"
training.class_count_basis,"{""inception_full_tuned_static"": ""row"", ""s1_163_v2_port_all_roles_modules_off"": ""participant"", ""tuned_all_roles__inception_full"": ""row"", ""tuned_all_roles__inception_small"": ""row"", ""tuned_all_roles__inception_small_no_gravity"": ""row""}"
training.class_weighting,"{""inception_full_tuned_static"": ""inverse_frequency"", ""s1_163_v2_port_all_roles_modules_off"": ""inverse_frequency"", ""tuned_all_roles__inception_full"": ""inverse_frequency"", ""tuned_all_roles__inception_small"": ""inverse_frequency"", ""tuned_all_roles__inception_small_no_gravity"": ""inverse_frequency""}"
